Article Title,Article Description,Article Author,Article Link,Article Image
MARKET SNAPSHOT: CAN CULTURE REVIVE AUSTIN'S HOUSING MARKET?,,Zonda Data Intelligence,https://www.builderonline.com/data-analysis/market-snapshot-can-culture-revive-austins-housing-market_o,https://cdnassets.hw.net/dims4/GG/3fdcffb/2147483647/resize/876x%3E/quality/90/?url=https%3A%2F%2Fcdnassets.hw.net%2F91%2F2d%2Fd4cd610b4af69378e133aede5704%2Fadobestock-239234152.jpg
AIA: MARCH BILLINGS IMPROVE SLIGHTLY,"The American Institute of Architects monthly Architecture Billings Index posted at 50.4 in March, expanding 2.4 points from February's score of 49.3 and rising for the first time since September. The ABI is a leading economic indicator of construction activity in the U.S. and reflects a nine- to 12-month lead time between architecture billings and construction spending nationally, regionally, and by project type. A score above 50 represents an increase in billings from the previous month, while a score below 50 represents a contraction.",ARCHITECT Staff,https://www.builderonline.com/data-analysis/aia-march-billings-improve-slightly_s,None
LOWER INTEREST RATES SPARK HOUSING DEMAND IN FIRST QUARTER OF 2023,"As mortgage interest rates retreated from 20-year peak levels during the first quarter of 2023, a record share of adults declared having plans to buy a home within a year, according to the NAHB Housing Trends Report. Eighteen percent of adults reported plans to buy a home in the next 12 months, the largest share since the inception of the Housing Trends Report in 2018.",No Author name,https://www.builderonline.com/data-analysis/lower-interest-rates-spark-housing-demand-in-first-quarter-of-2023_c,None
NEW-HOME SALES REMAIN SOLID IN MARCH DESPITE ECONOMIC UNCERTAINTY,"Despite concerns that economic uncertainty following the collapse of Silicon Valley Bank would cause a pullback in home buyer demand, March was “another solid month” for the housing market, according to Zonda’s New Home Market Update report.",Vincent Salandro,https://www.builderonline.com/data-analysis/new-home-sales-remain-solid-in-march-despite-economic-uncertainty_o,https://cdnassets.hw.net/dims4/GG/dac0610/2147483647/resize/300x%3E/quality/90/?url=https%3A%2F%2Fcdnassets.hw.net%2Fee%2Fe1%2F7f0c5b9a492baa29ad29ab6d3ea0%2Fadobestock-3120383.jpeg
"AS FLORIDA BOOMS, HERE ARE 3 SMALLER MARKETS TO WATCH","Much attention has been focused on migration trends to the Sun Belt over the last several years, especially during and post-pandemic. Residents from the Northeast, Midwest, and even the West flocked to Florida. According to recent U.S. Census data, Jacksonville, Tampa, and Orlando are in the top five large metro areas for net migration.",Kristine Smale,https://www.builderonline.com/data-analysis/as-florida-booms-here-are-3-smaller-markets-to-watch_o,https://cdnassets.hw.net/dims4/GG/0818528/2147483647/resize/876x%3E/quality/90/?url=https%3A%2F%2Fcdnassets.hw.net%2Fde%2F67%2F2a0832824d60912d29f3306d5961%2Fadobestock-165804442.jpeg
MARCH EXISTING-HOME SALES DIP 2.4%,"Declining 22% from one year ago, total existing-home sales, or completed transactions that include single-family homes, townhomes, condominiums, and co-ops, dropped 2.4% in March to a seasonally adjusted annual rate of 4.44 million, the National Association of Realtors (NAR) reports.",Leah Draffen,https://www.builderonline.com/data-analysis/march-existing-home-sales-dip-2-4_o,https://cdnassets.hw.net/dims4/GG/ded1a4b/2147483647/resize/876x%3E/quality/90/?url=https%3A%2F%2Fcdnassets.hw.net%2F02%2Fa1%2Fa1121a8147578cae479f6dce05d8%2Fscreen-shot-2019-01-11-at-4.23.50%20PM.png
STUDY: LIVING THROUGH PERIODS OF HIGH INFLATION INCREASES FUTURE HOME DEMAND,"People who experience periods of high inflation are more likely to purchase a home, according to a new study to be published in The Journal of Finance by the University of California, San Diego’s Rady School of Management. According to the research conducted by co-authors Dr. Alex Steiny Wellsjo and Dr. Ulrike Malmendier, many homeowners buy homes “because they are motivated to protect themselves from possible future price hikes.”",No Author name,https://www.builderonline.com/data-analysis/study-living-through-periods-of-high-inflation-increases-future-home-demand_c,None
HOME PRICES START TO SOFTEN,"While prices continue to make home purchases a financial stretch, prospective home buyers are seeing a softening in the market.",BUILDER Staff,https://www.builderonline.com/data-analysis/home-prices-start-to-soften_o,https://cdnassets.hw.net/dims4/GG/cb9b520/2147483647/resize/300x%3E/quality/90/?url=https%3A%2F%2Fcdnassets.hw.net%2Fb7%2Fb3%2F325e125842db98f2af99a27358d3%2Ffalling-prices-stock.png
SINGLE-FAMILY PERMIT ACTIVITY STEEPLY DECLINES TO BEGIN 2023,"Single-family permit activity through the first two months of the year was 34.3% below January and February 2022. Permit activity slowed by the greatest magnitude in the West, where permit activity was 44.7% lower year to date in February than one year ago, according to an analysis by the NAHB.",No Author name,https://www.builderonline.com/data-analysis/single-family-permit-activity-steeply-declines-to-begin-2023_c,None
MARCH'S SINGLE-FAMILY HOME PRODUCTION SHOWS IMPROVEMENT,"Single‐family housing starts improved in March, with a posted rate of 861,000. This figure is 2.7% above the revised February rate of 838,000, according to the U.S. Census Bureau and the Department of Housing and Urban Development.",Symone Strong,https://www.builderonline.com/data-analysis/marchs-single-family-home-production-shows-improvement_o,https://cdnassets.hw.net/dims4/GG/cfb3bae/2147483647/resize/876x%3E/quality/90/?url=https%3A%2F%2Fcdnassets.hw.net%2F30%2F30%2F37f55e7441cd9021a678c7010268%2Fadobestock-179280204.jpeg
MARCH'S SINGLE-FAMILY HOME PRODUCTION SHOWS IMPROVEMENT,,Symone Strong,https://www.builderonline.com/data-analysis/marchs-single-family-home-production-shows-improvement_o,https://cdnassets.hw.net/dims4/GG/cfb3bae/2147483647/resize/876x%3E/quality/90/?url=https%3A%2F%2Fcdnassets.hw.net%2F30%2F30%2F37f55e7441cd9021a678c7010268%2Fadobestock-179280204.jpeg
CALIFORNIA SNAGS 4 OF THE TOP 5 MOST SOLAR CITIES IN THE U.S.,"San Diego is the most solar city in the U.S., followed by Los Angeles; Austin, Texas; Palm Springs, California; and San Francisco, according to Thumbtack data based on new solar panel installation projects booked across the country since March 2022.",Leah Draffen,https://www.builderonline.com/data-analysis/california-snags-4-of-the-top-5-most-solar-cities-in-the-u-s_o,https://cdnassets.hw.net/dims4/GG/9b95503/2147483647/resize/876x%3E/quality/90/?url=https%3A%2F%2Fcdnassets.hw.net%2Fda%2F3c%2F051d45284852b0a6b5459244be17%2Fadobestock-132507237.jpeg
MARKET SNAPSHOT: BOISE TAKES A BREATHER,Boise’s once red-hot housing market is in the midst of a price correction as higher mortgage rates and record-setting home prices outpace local incomes.,Zonda Data Intelligence,https://www.builderonline.com/data-analysis/market-snapshot-boise-takes-a-breather_o,https://cdnassets.hw.net/dims4/GG/17b2c66/2147483647/resize/876x%3E/quality/90/?url=https%3A%2F%2Fcdnassets.hw.net%2Fd6%2F36%2F22cedb03443eaf1ada2f627979f6%2Fproxy-74.jpg
LACK OF EXISTING INVENTORY BUOYS BUILDER CONFIDENCE IN APRIL,"Home builders remain “cautiously optimistic” in April as limited resale inventory helps increase demand in the new-home market. Optimism is clouded by ongoing building material issues, according to the NAHB/Wells Fargo Housing Market Index (HMI).",Vincent Salandro,https://www.builderonline.com/data-analysis/lack-of-existing-inventory-buoys-builder-confidence-in-april_o,https://cdnassets.hw.net/dims4/GG/57908b2/2147483647/resize/300x%3E/quality/90/?url=https%3A%2F%2Fcdnassets.hw.net%2F1b%2F3c%2Fcb25b3ee41b8958de1cd603204f4%2Fproxy-29.jpg
MORTGAGE RATES DECREASE FOR FIFTH STRAIGHT WEEK,"The 30-year fixed-rate mortgage decreased for the fifth consecutive week, averaging 6.27% for the week of April 13, according to the latest Primary Mortgage Market Survey from Freddie Mac. A year ago at this time, the rate averaged 5%.",BUILDER Staff,https://www.builderonline.com/data-analysis/mortgage-rates-decrease-for-fifth-straight-week_o,https://cdnassets.hw.net/dims4/GG/90cfbff/2147483647/resize/300x%3E/quality/90/?url=https%3A%2F%2Fcdnassets.hw.net%2Ff8%2F3d%2Fe123f1a3411fa6af84491e84e975%2Fadobestock-49663654.jpeg
"PRICES OF BUILDING MATERIALS INCREASE, DRIVEN BY CONCRETE AND TRANSFORMER SHORTAGES","The prices of inputs to residential construction remained relatively stable in March, climbing 0.3% month over month. Since declining in each of the last four months of 2022, the Producer Price Index (PPI) has increased by a total of 1.6% in 2023. However, despite overall stability in the PPI, shortages of both concrete and transformers increased prices for both categories, according to an analysis by the NAHB.",No Author name,https://www.builderonline.com/data-analysis/prices-of-building-materials-increase-driven-by-concrete-and-transformer-shortages_c,None
ROCHESTER'S HOUSING MARKET KEEPS THRIVING DUE TO AFFORDABLE PRICES,"Affordable prices continue to keep housing markets in cities like Rochester, New York, bustling, while the rest of the U.S. sets a slower pace. In most of the cities on Realtor.com's Hottest Markets List for March, the average listing price sits below the national median.",No Author name,https://www.builderonline.com/data-analysis/rochesters-housing-market-keeps-thriving-due-to-affordable-prices_c,None
ALI WOLF: WHERE HAVE THE WORKERS GONE?,"As the pandemic struck the United States, unemployment soared with over 17 million people losing their jobs between February and April 2020. However, as the economy recovered, the U.S. moved from a labor surplus to a fairly significant shortage.",Ali Wolf,https://www.builderonline.com/data-analysis/ali-wolf-where-have-the-workers-gone_o,https://cdnassets.hw.net/dims4/GG/63d5409/2147483647/resize/876x%3E/quality/90/?url=https%3A%2F%2Fcdnassets.hw.net%2Fcc%2F00%2F6fa23b2146c581336eab3f9cbd88%2Fadobestock-536180787-1.jpeg
66% OF 2023 HOME BUYERS ARE WAITING FOR LOWER RATES,"While 66% of 2023 home buyers are waiting for mortgage rates to drop before shopping, others are getting creative to combat high mortgage rates. According to a March 2023 home buyer sentiment survey from U.S. News, home buyers are shopping lenders, lowering budgets, and planning to refinance.",No Author name,https://www.builderonline.com/data-analysis/66-of-2023-home-buyers-are-waiting-for-lower-rates_c,None
INFLATION SHOWS FURTHER SIGNS OF COOLING IN MARCH,"While inflation remains well above the Federal Reserve’s target rate of 2%, consumer prices in March posted its smallest year-over-year increase since May 2021. The Bureau of Labor Statistics reported the Consumer Price Index (CPI) rose 0.1% in March, the ninth consecutive month of deceleration. The shelter index, including housing inflation, also reported its smallest monthly gain since November 2022, according to an analysis by the NAHB.",No Author name,https://www.builderonline.com/data-analysis/inflation-shows-further-signs-of-cooling-in-march_c,None
HOW CLIMATE CHANGE WILL AFFECT THE TOP 5 NEW-HOME MARKETS BY 2030,"Of the top five home building markets on BUILDER’s 2022 Local Leaders list, the Phoenix-Mesa-Chandler metro (No. 4) fares the best against climate change compared with Dallas-Fort Worth-Arlington (No. 1); Houston-The Woodlands-Sugar Land (No. 2); Atlanta-Sandy Springs-Alpharetta, (No. 3); and Austin-Round Rock- Georgetown (No. 5), according to Climate Alpha's HOMES tool.",Leah Draffen,https://www.builderonline.com/data-analysis/how-climate-change-will-affect-the-top-5-new-home-markets-by-2030_o,https://cdnassets.hw.net/dims4/GG/7d083c4/2147483647/resize/876x%3E/quality/90/?url=https%3A%2F%2Fcdnassets.hw.net%2F2c%2F88%2Faf459aa34a408149c7e4aa5d34eb%2Fadobestock-332637837.jpeg
MAJORITY OF GEN Z ADULTS CONSIDER PET-FRIENDLY FEATURES ESSENTIAL IN HOMES,"Sixty percent of Gen Zers consider certain pet-friendly features essential in a home they would buy today, according to a Zillow survey.",Symone Strong,https://www.builderonline.com/data-analysis/majority-of-gen-z-adults-consider-pet-friendly-features-essential-in-homes_o,https://cdnassets.hw.net/dims4/GG/24768bc/2147483647/resize/876x%3E/quality/90/?url=https%3A%2F%2Fcdnassets.hw.net%2Ffe%2F8b%2F2a5060a341b7b1d293e06693295a%2Fadobestock-203273122.jpeg
TD BANK: FIRST-TIME HOME BUYERS FEEL MORE FINANCIALLY SECURE,"While inflation, high home prices, and elevated interest rates are challenging affordability, many prospective first-time home buyers feel more certain about their financial situations, according to a survey by TD Bank.",Vincent Salandro,https://www.builderonline.com/data-analysis/td-bank-first-time-home-buyers-feel-more-financially-secure_o,https://cdnassets.hw.net/dims4/GG/0801336/2147483647/resize/300x%3E/quality/90/?url=https%3A%2F%2Fcdnassets.hw.net%2F37%2Ff9%2F8638b5924f4681fe0feebb763272%2Fadobestock-430014652-1.jpeg
MARKET SNAPSHOT: MIAMI LOSES ITS SHINE,"Miami’s housing market, which had been outperforming the nation, has been experiencing increased headwinds.",Zonda Data Intelligence,https://www.builderonline.com/data-analysis/market-snapshot-miami-loses-its-shine_o,https://cdnassets.hw.net/dims4/GG/c1f434b/2147483647/resize/876x%3E/quality/90/?url=https%3A%2F%2Fcdnassets.hw.net%2F95%2F27%2Fd220492c499f8fd9df0d0d2e8498%2Fadobestock-115541528.jpeg
ARE SECOND HOMES A LUXURY OF THE PAST?,"Amid limited inventory, elevated mortgage rates, and less demand for short-term rentals, second-home mortgage-rate locks are floating near their lowest level since 2016.",Leah Draffen,https://www.builderonline.com/data-analysis/are-second-homes-a-luxury-of-the-past_o,https://cdnassets.hw.net/dims4/GG/d642d89/2147483647/resize/876x876%3E/quality/90/?url=https%3A%2F%2Fcdnassets.hw.net%2Fd4%2F09%2Fd854bf034866a85b67b64d559c60%2Fadobestock-66870877.jpeg
JOB MARKET SLOWS AT ‘GOLDILOCKS’ PACE IN MARCH,"Total nonfarm payroll employment rose by 236,000 in March, according to the latest jobs report from the U.S. Bureau of Labor Statistics. The unemployment rate and the number of unemployed persons both remained relatively stable month over month at 3.5% and 5.8 million, respectively.",Vincent Salandro,https://www.builderonline.com/data-analysis/job-market-slows-at-goldilocks-pace-in-march_o,https://cdnassets.hw.net/dims4/GG/5b7d1da/2147483647/resize/300x%3E/quality/90/?url=https%3A%2F%2Fcdnassets.hw.net%2Fe6%2Fae%2F1d61c42344eabf11581981d031b1%2Fadobestock-249415225-1.jpeg
CONSUMER CONFIDENCE HOVERS AT NEAR-SURVEY LOWS,"Remaining near the survey’s all-time low set in October 2022, the Fannie Mae Home Purchase Sentiment Index (HPSI) increased 3.3 points in March to 61.3. Year over year, the HPSI is down 11.9 points.",Leah Draffen,https://www.builderonline.com/data-analysis/consumer-confidence-hovers-at-near-survey-lows_o,None
MORTGAGE RATES TRENDING LOWER FOR SPRING SELLING,"The results of Freddie Mac’s Primary Mortgage Market Survey show the 30-year fixed-rate mortgage averaged 6.28% for the week of April 6, down from the prior week when it averaged 6.32%. A year ago at this time, the rate averaged 4.72%.",BUILDER Staff,https://www.builderonline.com/data-analysis/mortgage-rates-trending-lower-for-spring-selling_o,https://cdnassets.hw.net/dims4/GG/b42e679/2147483647/resize/300x%3E/quality/90/?url=https%3A%2F%2Fcdnassets.hw.net%2Fdf%2F8f%2Fa17c6ff04e6496a059178543030c%2Fmicrosoftteams-image-6.png
CAPE CORAL-FORT MYERS HOME BUYERS ARE OVERPAYING,"While new research from the Real Estate Initiative at Florida Atlantic University (FAU) reveals Atlanta as the country’s most overvalued housing market, the Sunshine State is a hot spot for overvalued markets.",Leah Draffen,https://www.builderonline.com/data-analysis/cape-coral-fort-myers-home-buyers-are-overpaying_o,https://cdnassets.hw.net/dims4/GG/ec7e52a/2147483647/resize/876x%3E/quality/90/?url=https%3A%2F%2Fcdnassets.hw.net%2F1e%2Fb0%2F8380059a46c6b884b2763ed4314c%2Fcape-coral-florida-adobestock-343723684.jpg
"BUILDING PRODUCTS: SHORT-TERM RISKS, LONG-TERM RUNWAY","Amid a cooling housing market, a shift in buying behaviors has the potential to move market share in the building products industry. During Zonda’s most recent Building Products webinar, Todd Tomalak and Matt Samson shared research highlighting how pro contractor behavior shifted in 2022 and the potential ramifications these behaviors could have in the industry.",Vincent Salandro,https://www.builderonline.com/data-analysis/building-products-short-term-risks-long-term-runway_o,https://cdnassets.hw.net/dims4/GG/679499d/2147483647/resize/300x%3E/quality/90/?url=https%3A%2F%2Fcdnassets.hw.net%2Fc3%2Fec%2F0a11c44e4020a46126fde6063cfc%2Fproxy-4.jpg
EXISTING-HOME INVENTORY INCREASES AS FEWER SELLERS LIST HOMES IN MARCH,"While the inventory of homes for sale increased on a year-over-year basis in March, housing inventory remains significantly lower than pre-pandemic levels, according to the Realtor.com In the 50 largest metro areas in the U.S., the number of homes increased by 74.4% compared with March 2022; however, inventory levels remain 43.2% below pre-pandemic levels in these metros.",Vincent Salandro,https://www.builderonline.com/data-analysis/existing-home-inventory-increases-as-fewer-sellers-list-homes-in-march_o,https://cdnassets.hw.net/dims4/GG/9baf82a/2147483647/resize/300x%3E/quality/90/?url=https%3A%2F%2Fcdnassets.hw.net%2F2a%2F0b%2Faa18bb4c469f9a2b0ea9c3f0e782%2Fadobestock-64479058.jpeg
CONSTRUCTION JOB OPENINGS TREND LOWER AS THE HOUSING MARKET SLOWS,"Job openings in the construction labor market rose in February after a sharp decline in January. The count of open jobs increased from a revised reading of 283,000 in January to 412,000. While the January point remains an outlier, the overall trend of the data suggests construction sector job openings are cooling as the housing market slows, according to an analysis by the NAHB.",No Author name,https://www.builderonline.com/data-analysis/construction-job-openings-trend-lower-as-the-housing-market-slows_c,None
MARKET SNAPSHOT: SAN DIEGO,San Diego's new-home market bounced back recently as mortgage rates started to retreat from their peak in November.,Zonda Data Intelligence,https://www.builderonline.com/data-analysis/market-snapshot-san-diego_o,https://cdnassets.hw.net/dims4/GG/7780358/2147483647/resize/876x%3E/quality/90/?url=https%3A%2F%2Fcdnassets.hw.net%2F2d%2F0e%2Fba192ff9426093638e4ea13ed9df%2Fsan-diego-skyline.jpg
HOMEOWNERSHIP EXPENSES REMAIN UNAFFORDABLE IN TWO-THIRDS OF U.S. COUNTIES,"Affordability conditions across the United States have worsened as home prices, elevated inflation, and high interest rates continue to impact prospective home buyers.",Vincent Salandro,https://www.builderonline.com/data-analysis/homeownership-expenses-remain-unaffordable-in-two-thirds-of-u-s-counties_o,https://cdnassets.hw.net/dims4/GG/57a9118/2147483647/resize/300x%3E/quality/90/?url=https%3A%2F%2Fcdnassets.hw.net%2F97%2F04%2Ff4e6af6a4aa6be82034557d6a61c%2Fproxy-14.jpg
SHARE OF SELF-EMPLOYED CONSTRUCTION WORKERS RISES IN POST-PANDEMIC PERIOD,"In the years following the start of the COVID-19 pandemic, self-employment in the construction industry has moved in the opposite direction of its typical pattern. While construction self-employment typically rises during economic downturns and falls during expansions, self-employment rates rose during the post-pandemic housing boom. According to NAHB analysis of the 2021 American Community Survey (ACS), 23% of workers employed in construction were self-employed, an increase from pre-pandemic times and a rate much higher than the economy-wide average of 10% of the labor force.",No Author name,https://www.builderonline.com/data-analysis/share-of-self-employed-construction-workers-rises-in-post-pandemic-period_c,None
GET TO KNOW YOUR FUTURE HOME BUYERS: GEN Z,"U.S. Rep. Maxwell Frost (D-Fla.), the first Generation Z member of Congress, recently struggled to find an affordable place to live in Washington, D.C. Many other young adult Gen Zers are confronted with the same problem. This, however, has not dampened their desire to become homeowners.",Ali Wolf,https://www.builderonline.com/data-analysis/get-to-know-your-future-home-buyers-gen-z_o,https://cdnassets.hw.net/dims4/GG/9652510/2147483647/resize/876x%3E/quality/90/?url=https%3A%2F%2Fcdnassets.hw.net%2F92%2Fa0%2F7e5cd7b3401a978d05a65e91d323%2Fadobestock-555642458.jpeg
"IN DALLAS, AN EXAMINATION INTO BUILD-TO-RENT’S FUTURE",There’s a time in almost everyone’s life when they’re ready to leave their parents’ basement but not quite ready to buy a house.,Steve Ladurantaye,https://www.builderonline.com/data-analysis/in-dallas-an-examination-into-build-to-rents-future_o,https://cdnassets.hw.net/dims4/GG/253a08a/2147483647/resize/876x%3E/quality/90/?url=https%3A%2F%2Fcdnassets.hw.net%2Fd5%2F29%2Fbe2b94bd4c098f02b166c96718a9%2Fadobestock-273157043.jpeg
MILLENNIALS TRANSITIONED FROM RENTER-MAJORITY TO OWNER-MAJORITY IN 2022,"In 2022, millennials became the largest generation in the U.S. to transition from renter-majority to owner-majority, according to new data from RentCafe. With 52% of millennials owning a home, the generation reached 18.2 million homeowners in 2022, increasing 7.1 million in the last five years.",Leah Draffen,https://www.builderonline.com/data-analysis/millennials-transitioned-from-renter-majority-to-owner-majority-in-2022_o,https://cdnassets.hw.net/dims4/GG/7e86b69/2147483647/resize/876x%3E/quality/90/?url=https%3A%2F%2Fcdnassets.hw.net%2F01%2Fa3%2F33700a124beabe7e8269ce366e30%2Fadobestock-238593281.jpeg
"CONSUMER CONFIDENCE REBOUNDS, IMPROVES SLIGHTLY IN MARCH","Optimism in the short-term outlook in the economy contributed to an increase in consumer confidence in March. However, even as confidence is increasing, consumers are planning to spend less on highly discretionary categories, such as dining, and focus more on less discretionary categories, such as home maintenance and repair, according to the NAHB.",No Author name,https://www.builderonline.com/data-analysis/consumer-confidence-rebounds-improves-slightly-in-march_c,None
BOOMERS SURPASS MILLENNIALS AS LARGEST HOME BUYER GENERATION,,Leah Draffen,https://www.builderonline.com/data-analysis/boomers-surpass-millennials-as-largest-home-buyer-generation_o,https://cdnassets.hw.net/dims4/GG/18119b4/2147483647/resize/876x%3E/quality/90/?url=https%3A%2F%2Fcdnassets.hw.net%2F4c%2Fea%2Ff16a46ac4931a61eda9c3f558d52%2Fadobestock-215706772.jpeg
HOME PRICE GROWTH SLOWS FOR SEVENTH CONSECUTIVE MONTH,"The trend of declining home price gains continued in January across the United States, with several markets reporting price decreases, according to the latest S&P CoreLogic Case-Shiller U.S. National Home Price Index. San Francisco, San Diego, Seattle, and Portland, Oregon, all experienced price declines in January.",Vincent Salandro,https://www.builderonline.com/data-analysis/home-price-growth-slows-for-seventh-consecutive-month_o,https://cdnassets.hw.net/dims4/GG/0d5d82b/2147483647/resize/300x%3E/quality/90/?url=https%3A%2F%2Fcdnassets.hw.net%2F79%2F4a%2F5bcff0084c28939d26eb27db5318%2Fadobestock-318511015-1.jpeg
SUN BELT METROS' HOUSING COSTS OUTPACE THE WEST AND NORTHEAST,"Sun Belt metropolitan areas like Phoenix and Tampa, Florida, are seeing higher surges in housing costs compared with the West and Northeast, according to a new analysis from Bank of America Institute.",Leah Draffen,https://www.builderonline.com/data-analysis/sun-belt-metros-housing-costs-outpace-the-west-and-northeast_o,https://cdnassets.hw.net/dims4/GG/e6cade1/2147483647/resize/876x%3E/quality/90/?url=https%3A%2F%2Fcdnassets.hw.net%2F18%2F94%2Fb016453649b29527c237ae173db4%2Fadobestock-106835549-2.jpeg
